,ID,Selection,Date,Locality,CALF,GROUP.SIZE,BEHAVIOUR,BOAT,SPL.125.Hz,SPL.2000.Hz,SPL.4000.Hz,SPL.8000.Hz,SPL.16000.Hz,SPL.20000.Hz,Low.Freq,High.Freq,Delta.Freq,Start.Freq,End.Freq,Duration,Inflections,Armonics,PC1,PC2,PC3
1,1,07052016A_03,7052016,CROATIA,YES,2,FEEDING,YES,92.29,105.61,81.26,75.79,83.48,85.23,9.006,19.399,10.393,9.006,9.468,2.439,2,1,-1.188844824,-1.97321332,-0.66044592
2,2,22052016F_04,22052016,CROATIA,YES,16,TRAVEL,NO,99.32,103.57,99.62,95.27,87.89,84.93,8.535,15.363,6.828,8.535,15.363,2.445,0,1,-0.702320352,-0.941311879,-0.387856974
3,2,22052016F_07,22052016,CROATIA,YES,16,TRAVEL,NO,93.66,102.84,98.97,94.47,87.44,85.65,7.586,22.57,14.984,7.586,16.121,0.051,2,0,-1.715380657,-0.162365308,1.879291289
4,2,22052016F_15,22052016,CROATIA,YES,16,TRAVEL,NO,92.1,101.06,97.82,94,87.7,87,7.39,16.396,9.006,7.39,16.396,0.038,0,1,-0.356865472,1.099104298,1.421011435
5,3,26052016A_02,26052016,CROATIA,NO,3,TRAVEL,NO,104.07,99.3,99.31,93.93,86.69,83.81,7.39,9.006,1.616,8.775,9.006,0.645,1,1,1.410632388,1.056573025,-0.929618445
6,3,26052016A_08,26052016,CROATIA,NO,3,TRAVEL,NO,106.47,101.5,94.93,91.61,86.13,84.44,4.523,10.553,6.03,5.276,4.523,2.036,2,1,1.658318712,-1.814122323,-0.802466238
7,4,01062016B_02,1062016,CROATIA,YES,13,FEEDING,NO,86.32,97.25,86.6,84.68,83.01,82.26,10.854,18.937,8.083,10.854,17.32,0.313,1,1,-1.58253921,1.266544398,0.335254977
8,4,01062016E_01,1062016,CROATIA,YES,13,TRAVEL,NO,94.4,99.33,81.92,78.57,80.38,80.14,8.544,18.475,9.931,14.78,18.475,1.072,3,1,-2.16582863,-0.228948085,-0.416994134
9,4,01062016E_12,1062016,CROATIA,YES,13,TRAVEL,NO,82.96,95.75,82.45,89.43,85.64,83.68,9.93,11.777,1.847,10.161,10.623,1.518,1,0,0.290648047,0.513382979,-1.547018394
10,5,07062016A_02,7062016,CROATIA,YES,11,FEEDING,YES,99.02,116.14,99.52,97.2,94.36,94.67,7.369,17.007,9.638,7.369,17.007,0.677,1,0,-0.719464224,0.11656227,0.981774975
11,5,07062016A_05,7062016,CROATIA,YES,11,FEEDING,YES,97.9,115.26,99.17,97.37,96.06,95.26,6.236,15.684,9.448,6.236,15.684,0.749,0,1,-0.117815057,0.104180393,1.300559603
12,5,07062016A_11,7062016,CROATIA,YES,11,FEEDING,YES,95.39,113.05,98.67,93.52,95.74,100.29,7.64,22.573,14.933,7.64,20.315,0.718,3,1,-2.287822459,-0.983972628,1.469433501
13,5,07062016A_14,7062016,CROATIA,YES,11,FEEDING,YES,97.5,113.26,96.61,94.21,97.67,103.2,6.424,15.627,9.203,6.424,7.466,0.279,8,0,0.120242083,-1.606536808,-1.074247608
14,5,07062016A_17,7062016,CROATIA,YES,11,FEEDING,YES,93.9,113.21,95.23,99.23,91.86,90.69,7.987,16.843,8.856,7.987,16.843,0.259,1,1,-0.685660407,0.743344966,0.942931049
15,5,07062016B_03,7062016,CROATIA,YES,11,FEEDING,YES,97.97,112.19,101.18,100.48,96.8,97.63,6.928,16.165,9.237,7.159,7.621,0.896,4,1,0.058081177,-1.121401483,-0.40423954
16,5,07062016B_16,7062016,CROATIA,YES,11,FEEDING,YES,93.54,111.53,96.18,96.43,92.26,90.8,5.08,14.549,9.469,11.547,5.08,0.495,2,1,0.454108506,-0.21023241,-0.053971812
17,5,07062016B_17,7062016,CROATIA,YES,11,FEEDING,YES,93.1,111.33,96.26,95.97,94.7,91.27,6.004,14.087,8.083,6.004,13.163,0.445,2,1,0.371406219,-0.022868463,0.594479664
18,5,07062016B_18,7062016,CROATIA,YES,11,FEEDING,YES,92.83,111.65,96.25,95.75,94.82,91.59,6.235,18.013,11.778,6.235,14.318,0.411,2,1,-0.528574166,-0.391258968,1.274781529
19,5,07062016B_19,7062016,CROATIA,YES,11,FEEDING,YES,94.13,113.23,95.78,92.68,90.36,90.27,6.697,18.706,12.009,7.851,7.621,1.249,2,1,-0.430503653,-1.306777803,0.387162948
20,5,07062016B_23,7062016,CROATIA,YES,11,FEEDING,YES,95.97,114.64,97.49,97.06,99.93,101.84,6.466,15.242,8.776,6.466,11.085,0.469,2,1,0.251315187,-0.11285276,0.526610876
21,5,07062016B_25,7062016,CROATIA,YES,11,FEEDING,YES,96.19,114.89,96.05,93,91.7,91.85,6.697,15.473,8.776,6.697,15.473,0.84,1,1,-0.214330274,-0.09011822,0.785856505
22,5,07062016C_01,7062016,CROATIA,YES,11,FEEDING,YES,97.09,112.71,96.97,95.98,94.26,96.88,6.928,14.087,7.159,6.928,14.087,0.174,0,0,0.341481106,1.060321105,0.994350788
23,5,07062016C_03,7062016,CROATIA,YES,11,FEEDING,YES,93.17,114.34,96.04,93.41,99.12,104.94,7.39,17.782,10.392,17.551,8.082,0.582,2,0,-1.186651804,0.262040214,-0.523329088
24,6,18062016C_06,18062016,CROATIA,YES,5,FEEDING,YES,103.1,110.45,97.33,91.88,86.25,85.14,5.382,18.232,12.85,6.424,8.681,1.313,5,1,-0.438948255,-2.44292589,-0.019873804
25,6,18062016C_09,18062016,CROATIA,YES,5,FEEDING,YES,102.99,109.92,97.2,92.54,88.65,87.58,5.73,19.621,13.891,6.251,8.508,0.074,6,1,-0.525514482,-1.535104331,0.492984172
26,6,18062016C_13,18062016,CROATIA,YES,5,FEEDING,YES,100.84,108.5,97.98,95.74,95.4,89.12,7.119,19.273,12.154,7.64,19.273,0.229,0,1,-1.22189306,0.562063239,2.010489337
27,6,18062016C_19,18062016,CROATIA,YES,5,FEEDING,YES,92.23,101.42,92.47,91.38,84.03,82.03,7.119,10.765,3.646,7.292,10.418,0.185,2,1,1.126966504,0.932991293,-0.384397496
28,7,21062016C_02,21062016,CROATIA,YES,27,TRAVEL,NO,85.41,97.72,86.23,85.97,87.42,92.64,4.926,12.48,7.554,11.823,8.21,0.931,4,1,0.344389785,-0.847364446,-1.000779209
29,7,21062016C_06,21062016,CROATIA,YES,27,TRAVEL,NO,86.14,97.31,82.3,94.62,85.34,82.37,4.926,16.092,11.166,16.092,5.418,1.357,3,1,-0.571387716,-1.298986818,-0.86165915
30,7,21062016C_09,21062016,CROATIA,YES,27,TRAVEL,NO,87.58,98.01,83.5,85.46,85.7,87.74,5.09,16.092,11.002,15.6,5.747,0.852,3,1,-0.460179968,-0.763135978,-0.588063149
31,7,21062016D_01,21062016,CROATIA,YES,27,TRAVEL,NO,87.02,91.55,83.1,86.11,86.62,90.8,6.837,22.033,15.196,6.837,22.033,1.518,7,1,-2.640862712,-2.953412993,0.268222916
32,7,21062016D_04,21062016,CROATIA,YES,27,TRAVEL,NO,84.72,107.09,85.21,93.1,92.53,85.22,5.128,17.094,11.966,17.094,6.268,1.449,4,1,-1.041466316,-1.648208672,-1.102815083
33,7,21062016D_06,21062016,CROATIA,YES,27,TRAVEL,NO,84.5,90.39,82.53,95.48,85.34,84.08,5.318,24.502,19.184,5.888,24.502,1.463,2,1,-2.813755555,-2.27472032,2.638861045
34,7,21062016D_15,21062016,CROATIA,YES,27,TRAVEL,NO,80.84,95.44,87.07,91.31,94.82,99.68,3.798,18.424,14.626,3.798,5.508,1.122,2,1,0.390264204,-2.106746132,1.389407227
35,7,21062016D_24,21062016,CROATIA,YES,27,TRAVEL,NO,79.56,90.73,89.12,99.87,89.9,93.91,4.558,15.955,11.397,15.955,5.318,1.403,3,1,-0.512622535,-1.424264326,-0.810979854
36,7,21062016D_27,21062016,CROATIA,YES,27,TRAVEL,NO,83.97,92.79,86.49,98,87.13,89.54,4.938,13.485,8.547,10.826,13.485,1.08,4,1,-0.240358247,-1.053642532,-0.548737243
37,7,21062016D_28,21062016,CROATIA,YES,27,TRAVEL,NO,84.02,91.78,83.72,100.6,96.17,99.05,8.547,16.524,7.977,15.385,16.524,0.989,2,1,-1.589572924,0.349366613,-0.603970701
38,7,21062016D_29,21062016,CROATIA,YES,27,TRAVEL,NO,81.66,91.99,86.62,92.83,92.71,97.09,8.547,18.234,9.687,10.446,15.765,1.248,3,1,-1.472946725,-0.71259589,-0.26169363
39,7,21062016D_31,21062016,CROATIA,YES,27,TRAVEL,NO,83.27,95.73,96.37,97.84,104.07,104.74,6.078,18.234,12.156,6.078,8.357,3.288,3,1,-0.653399699,-3.834383511,-0.614300491
40,7,21062016D_32,21062016,CROATIA,YES,27,TRAVEL,NO,84.44,113.61,98.57,103.33,104.99,104.64,6.268,16.714,10.446,6.268,8.737,0.962,4,1,-0.03632891,-1.437001911,-0.04116197
41,7,21062016F_03,21062016,CROATIA,YES,27,TRAVEL,NO,82.41,92.77,82.99,80.65,81.25,79.68,4.037,11.304,7.267,4.037,5.854,0.98,4,1,1.611361419,-1.488219406,-0.380371294
42,7,21062016F_09,21062016,CROATIA,YES,27,TRAVEL,NO,82.32,95.82,86.97,84.22,81.39,81.09,6.661,16.149,9.488,6.863,8.68,0.52,2,1,0.222941784,-0.272578191,0.457007244
43,7,21062016F_12,21062016,CROATIA,YES,27,TRAVEL,NO,79.5,103.64,81.28,80.35,80.55,81.36,8.276,15.14,6.864,15.14,14.938,0.432,3,1,-1.102554742,0.725727626,-0.824780592
44,7,21062016F_14,21062016,CROATIA,YES,27,TRAVEL,NO,89.01,98.85,82.2,81.95,87.01,84.39,8.478,17.158,8.68,15.543,17.158,0.281,2,1,-1.645309476,1.007587853,-0.110613996
45,7,21062016F_16,21062016,CROATIA,YES,27,TRAVEL,NO,87.09,93.09,81.85,78.42,79.26,78.81,8.074,16.956,8.882,15.342,16.956,0.609,4,1,-1.749127841,0.073230115,-0.73416861
46,7,21062016F_17,21062016,CROATIA,YES,27,TRAVEL,NO,81.77,98.83,81.76,78.57,81.43,79.23,8.68,16.956,8.276,14.736,15.14,0.472,7,1,-1.739034367,-0.497969507,-1.643106469
47,7,21062016F_21,21062016,CROATIA,YES,27,TRAVEL,NO,81.76,92.47,79.79,77.82,81.43,79.03,8.276,18.571,10.295,16.149,18.571,1.042,4,1,-2.383211352,-0.441652788,-0.714325234
48,7,21062016F_22,21062016,CROATIA,YES,27,TRAVEL,NO,89.19,93.67,78.2,79.71,84.45,83,8.68,17.764,9.084,14.938,17.764,1.538,3,1,-2.07709764,-0.595403199,-0.854451741
49,8,22062016B_03,22062016,CROATIA,YES,20,TRAVEL,NO,117.56,123.35,121.76,116.06,117.62,113,5.08,17.551,12.471,5.08,17.551,0.567,0,1,-0.437188293,-0.234850554,2.198543651
50,8,22062016C_01,22062016,CROATIA,YES,20,TRAVEL,NO,122.39,124.44,121.67,115.77,108.32,107.93,8.754,19.412,10.658,8.754,19.412,0.775,1,1,-1.62987424,0.172862517,1.001904731
51,8,22062016C_02,22062016,CROATIA,YES,20,TRAVEL,NO,120.72,123.62,121.5,115.13,115.34,108.65,8.374,21.316,12.942,8.374,21.316,0.111,1,1,-1.983971139,0.551936234,1.884154784
52,8,22062016C_17,22062016,CROATIA,YES,20,TRAVEL,NO,119.23,122.03,121.41,115.03,108.59,106.65,6.28,23.6,17.32,6.28,23.6,0.356,1,1,-2.362223473,-0.541961473,2.981265488
53,8,22062016C_18,22062016,CROATIA,YES,20,TRAVEL,NO,119.34,122.69,121.31,117.37,111.83,112.21,5.519,17.89,12.371,5.519,17.129,0.683,2,1,-0.693826695,-0.792736047,1.497994857
54,8,22062016E_01,22062016,CROATIA,YES,20,TRAVEL,NO,100.91,123.1,86.2,89.65,88.13,90.3,6.921,10.547,3.626,7.416,10.547,0.389,1,1,1.185132015,0.972200168,-0.214493907
55,8,22062016E_03,22062016,CROATIA,YES,20,TRAVEL,NO,84.12,92.7,89.01,88.63,89.3,88.33,7.581,10.712,3.131,7.086,10.382,0.281,1,1,1.189440247,1.189471953,-0.268213845
56,9,23062016A_21,23062016,CROATIA,YES,29,TRAVEL,YES,90.36,96.08,92.48,93.56,90.61,90.74,7.07,16.104,9.034,7.07,8.444,0.28,2,0,0.257538579,0.080833486,0.437498453
57,10,30062016A_02,30062016,CROATIA,YES,10,TRAVEL,NO,87.14,98.16,80.57,85.18,86.13,89.16,7.625,15.251,7.626,14.078,15.251,0.179,1,1,-0.82417761,1.277878021,0.128065991
58,10,30062016A_03,30062016,CROATIA,YES,10,TRAVEL,NO,86.87,97.39,85,87.69,95.24,98.35,7.625,16.62,8.995,15.642,16.62,0.196,2,1,-1.44468918,0.960342422,0.008144777
59,10,30062016A_04,30062016,CROATIA,YES,10,TRAVEL,NO,91.04,101.87,100.3,103.58,107.28,108.27,7.821,17.793,9.972,15.446,17.793,0.956,1,1,-1.844702944,0.347161241,0.132157435
