Site,Time,Hz1000,Hz1.25k,Hz1.6k,Hz2k,Hz2.5k,Hz3.15k,Hz4k,Hz5k,Hz6.3k,Hz8k,Hz10k,Hz12.5k,Hz16k,Hz20k
Dolphin Bay,During Lockdown,66.6,68.1,72.8,77.9,79,81.8,84,86.1,87.3,85.8,86.6,86.9,86.7,85
Dolphin Bay,During Lockdown,68.2,68.7,72.4,77.6,78.9,81.9,84.3,86.4,87.8,86.5,86.9,87.1,86.8,85.1
Dolphin Bay,During Lockdown,68.5,70.1,73.9,78.9,80.8,83.4,86.4,88.8,90.4,88.9,89,88.4,89.1,87.8
Dolphin Bay,During Lockdown,69,70.2,73.9,78.2,79.3,82,84,85.5,86.8,85.4,85.6,85.3,84.8,83
Dolphin Bay,During Lockdown,68.6,70.1,73.8,76.8,77.5,79.7,81.4,82.8,84,82.7,82.7,82.3,82,80.5
Dolphin Bay,During Lockdown,70.6,70.4,73.5,76.6,77.1,79.5,81.3,83,84.6,83.8,83.8,83.8,83.7,82
Dolphin Bay,During Lockdown,70.1,71.4,75.6,81.2,81.6,83,84.2,85.7,86.2,85.7,85.9,86.5,86.3,84.4
Dolphin Bay,During Lockdown,75,75.1,78.4,83.7,84.5,85.9,87,90.7,92.8,94.5,96.4,95.8,96.3,96.3
Dolphin Bay,During Lockdown,68.8,70.6,75.6,81,81.7,84,84.1,85.9,86.3,85.6,87.2,88.9,89.9,90.1
Dolphin Bay,During Lockdown,79.3,81.5,83.1,87.1,86,90.8,92.4,96,98,100.2,104.4,108.1,109.9,108.9
Dolphin Bay,During Lockdown,75.4,76.3,78.1,81,81.9,83.2,84.9,86.4,86.6,85.5,85.9,86.4,85.8,83.2
Dolphin Bay,During Lockdown,74.2,74.4,76.5,80.3,80.4,82.3,84,85.8,86.6,85.7,86.3,87.1,87.4,85.6
Dolphin Bay,During Lockdown,70.3,70,74.9,79.7,79.8,81.5,82.7,83.2,83.5,82.3,82.7,83.5,83.6,81.7
Dolphin Bay,During Lockdown,67.3,69.6,75.2,80.4,80.7,82.7,84.4,84.9,85,83.5,83.6,84.3,84.3,82.5
Dolphin Bay,During Lockdown,67.4,69.4,75,80.4,80.8,83,84.9,85.7,86.2,84.9,85.1,85.2,84.7,82.5
Dolphin Bay,During Lockdown,85.6,77,75.8,80.1,80.1,82,83.2,85.2,86,84.4,85.5,85.8,86.5,84.7
Dolphin Bay,During Lockdown,70.2,72.4,76.1,80.3,81.6,83.6,85.6,88.9,90.7,91.5,89.1,88.1,86.7,83.7
Dolphin Bay,During Lockdown,77.1,78,76.9,80.5,80.3,82.3,83.8,84.5,85,83.6,83.9,84.5,84.4,82.5
Dolphin Bay,During Lockdown,66.6,69.7,74.6,80.2,79.4,82,83.8,87.4,86.5,85.2,88.5,88.3,89.7,85.4
Dolphin Bay,During Lockdown,68.4,69.9,75.1,80.4,80.9,83.3,85.5,86.6,87.5,86.3,86.6,87.3,87.1,84.9
Dolphin Bay,During Lockdown,67.5,71,75.9,80.6,81,83.5,85.4,87.3,87.9,87.4,87.9,87.9,87.2,85.1
Dolphin Bay,During Lockdown,68.3,71,76.1,80.3,80.6,82.8,84.7,85.8,86.6,85.3,85.9,86,85.8,84
Dolphin Bay,During Lockdown,68.8,71.4,75.8,80,80.5,82.8,84.7,85.7,86.2,84.9,85.3,85.6,85.2,83.1
Dolphin Bay,During Lockdown,68.7,71.7,76.4,79.9,79.8,81.7,82.7,83.8,84,82.6,83.5,84.9,83.2,80.3
Dolphin Bay,During Lockdown,75.2,76.1,78.2,80.5,80.3,82.3,83.9,84.9,85.2,84.2,84.5,84.9,84.8,82.5
Dolphin Bay,During Lockdown,92,92.7,93,93.4,92.2,92.6,93.6,94.6,94.4,93.6,94.6,96.5,97.4,95.2
Dolphin Bay,During Lockdown,67.8,70.6,75.9,80.2,80.1,82.1,83.8,84.8,85.1,83.7,84.2,84.8,84.8,82.8
Dolphin Bay,During Lockdown,104.5,103.6,105.3,108.1,108.1,109.9,111.8,112.4,111.6,108.3,106.6,106.6,105.8,102.7
Dolphin Bay,During Lockdown,67.8,71.1,75.7,79.9,79.6,82,84,85.1,85.6,84.6,85,86,86.1,84
Dolphin Bay,During Lockdown,70.1,71.8,76,79.8,79.4,81.7,83.5,84.6,85.4,84.4,85,86.1,86.4,84.1
Dolphin Bay,During Lockdown,69.1,71.2,76.3,79.7,79.8,81.8,82.8,83.2,83.6,82.6,82.5,83.4,82.9,80.8
Dolphin Bay,During Lockdown,67.6,70.5,76,79.6,79.5,81.9,83,83.4,84.5,83.3,83.4,83.8,83.5,81.4
Dolphin Bay,During Lockdown,75.2,76.5,78.2,81.4,80.3,82.2,83.7,84.5,85.1,83.9,85.6,87,88.3,88.2
Dolphin Bay,During Lockdown,68.9,71.9,77.2,81.1,80.3,81.8,83.3,83.9,83.9,82.4,82.4,82.9,82.9,80.9
Dolphin Bay,During Lockdown,80.9,82.8,84.8,93.1,95.2,95,101.5,100.5,103.3,106.5,105.6,99.1,93.1,94.4
Dolphin Bay,During Lockdown,80,79.6,79.2,79.4,78.8,80.9,83.3,84.6,85,87.9,88,87.2,86.4,90.9
Dolphin Bay,During Lockdown,79.8,79.4,79.1,79.3,78.7,80.8,83.2,84.5,85,87.7,88,87.2,86.4,90.9
Dolphin Bay,During Lockdown,82.4,82.1,80.5,79.8,81,81.8,82,83.1,84.5,84.9,86.7,86.3,86,90.9
Dolphin Bay,During Lockdown,82.4,82.2,80.6,79.8,81.1,81.8,82,83.1,84.5,84.9,86.7,86.3,86,90.9
Dolphin Bay,During Lockdown,122.3,120.7,118.8,116.9,114.9,116.1,119.5,121,121.2,122.4,123,123,122,119.6
