FrequencyRange(kHz),Site,Frequency
1,Dolphin Bay 2019,112.8827586
1.25,Dolphin Bay 2019,101.1913793
1.6,Dolphin Bay 2019,100.8224138
2,Dolphin Bay 2019,111.8224138
2.5,Dolphin Bay 2019,98.4
3.15,Dolphin Bay 2019,97.9862069
4,Dolphin Bay 2019,111.4775862
5,Dolphin Bay 2019,95.00689655
6.3,Dolphin Bay 2019,93.41551724
8,Dolphin Bay 2019,109.9982759
10,Dolphin Bay 2019,92.12068966
12.5,Dolphin Bay 2019,92.00344828
16,Dolphin Bay 2019,110.2655172
20,Dolphin Bay 2019,90.77931034
1,Dolphin Bay 2020,80.46532258
1.25,Dolphin Bay 2020,80.37983871
1.6,Dolphin Bay 2020,80.39677419
2,Dolphin Bay 2020,81.52016129
2.5,Dolphin Bay 2020,80.89032258
3.15,Dolphin Bay 2020,82.6
4,Dolphin Bay 2020,83.97822581
5,Dolphin Bay 2020,84.72016129
6.3,Dolphin Bay 2020,86.00241935
8,Dolphin Bay 2020,86.61048387
10,Dolphin Bay 2020,87.59516129
12.5,Dolphin Bay 2020,87.20967742
16,Dolphin Bay 2020,87.65241935
20,Dolphin Bay 2020,90.03145161
1,Almirante 2019,110.4205607
1.25,Almirante 2019,89.20186916
1.6,Almirante 2019,88.11308411
2,Almirante 2019,107.8560748
2.5,Almirante 2019,91.40186916
3.15,Almirante 2019,91.00093458
4,Almirante 2019,110.8308411
5,Almirante 2019,92.04205607
6.3,Almirante 2019,91.91495327
8,Almirante 2019,108.1308411
10,Almirante 2019,92.4046729
12.5,Almirante 2019,91.61028037
16,Almirante 2019,109.7383178
20,Almirante 2019,86.76448598
1,Almirante 2020,77.75
1.25,Almirante 2020,79.17272727
1.6,Almirante 2020,82.41818182
2,Almirante 2020,85.23636364
2.5,Almirante 2020,87.00454545
3.15,Almirante 2020,89.20909091
4,Almirante 2020,89.98636364
5,Almirante 2020,91.02272727
6.3,Almirante 2020,91.48636364
8,Almirante 2020,91.44545455
10,Almirante 2020,92.12727273
12.5,Almirante 2020,91.75454545
16,Almirante 2020,90.80909091
20,Almirante 2020,90.1
