Low Freq (Hz),High Freq (Hz)
6400.6,11859.9
3524.7,19250.2
5063.9,12429.6
7812.5,12961.6
5037.3,12686.6
5553.2,15271.3
4150.8,11231.7
6370.3,15129.5
8795.6,10475.1
6068.5,11609.2
6487.2,12433.8
4421.2,10048.2
8158.9,12238.4
5090.9,12121.2
5575.8,13575.8
6413,12547.2
3060.9,6956.5
8000,14303
7515.2,11636.4
5090.9,14060.6
5333.3,12606.1
6060.6,13090.9
2782.6,6678.3
19870.2,25808.5
11130.4,13913
3636.4,13575.8
5575.8,14060.6
11393.9,18909.1
5170.3,13049
2936.5,12039.6
2003.2,13621.8
5280.3,11019.8
6352.5,20901.6
5532.8,21926.2
3215.4,15675.2
10882.6,14333.2
4059.7,17432.8
4255.3,14387
6288.8,15537.1
6965.3,17867.5
4239.7,14233.4
8105.3,11144.8
4994.1,16276.9
3653.8,13846.2
3076.9,11730.8
4177.6,11653.2
4777.7,14598.7
3466.2,12781.6
4265.4,11848.3
7884.6,16538.5
3716,15395
4660.6,13373.8
7528.3,14220.2
8553.7,17625.8
6692.6,13385.2
6079,13981.7
5533.8,16601.5
5393.4,12088.6
6413,15056.7
4812,14917.3
5018.9,13941.4
4206.8,15106.2
7294.8,12360.6
4835.4,12832.5
5855.4,14220.2
5531,13643.1
7092.2,14184.4
6970.7,16172
4099.2,11785.1
8604.8,14723.8
6134.2,14499
7142.5,13169
4398,14532.5
8902.3,16360.9
4458.3,5958.3
4352.5,5776.3
4102.9,5514.7
4375.7,6585.6
5456.1,16368.2
2532,14731.4
4595.1,16488.3
4324.8,17569.5
3243.6,15677.4
3784.2,15407.1
3784.2,16758.6
2973.3,14596.2
3243.6,15677.4
6378.5,14275.8
5467.3,16098.2
4859.8,17616.9
5292.7,17730.6
4763.4,17201.3
4910.5,14508.2
5308.6,17783.8
4182.4,15056.7
4777.7,19641.9
6799.1,16317.8
5439.3,17904.3
5892.6,18114.2
4364.9,15004.2
4324.8,18380.5
5135.7,15407.1
3784.2,16488.3
4595.1,16488.3
3513.9,15136.8
4324.8,14866.5
4324.8,15947.7
4567.9,18043.1
4252.4,15794.5
4833.7,16342.6
4162.3,13956.1
5427.4,14214.5
4087.3,19670.2
3196,13139.2
6220.9,11404.9
6083.8,16010
6209,18865.7
3343.3,18388.1
8145.9,14255.3
8097.6,13783.2
3741.5,18351.4
3728.7,9369.7
4177.6,14291.6
4615.6,13846.7
5875.5,15072
3927.1,13838.3
3636.4,13090.9
4121.2,10909.1
3104.5,21731.3
6109.4,20195
3920,9178.4
4015.6,9752.1
2537.5,13956.1
3628.8,13737.8
5918.9,16461.9
4239.7,16050.5
4776.1,14567.2
4537.3,20776.1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
